tag,alternate_tag,Full Name,Description
ICE,,U.S. Immigration and Customs Enforcement,Federal agency that enforces immigration laws and investigates immigration crimes.
DOL,,Department of Labor,Federal agency responsible for LCA and PERM processing for foreign workers.
DOS,,Department of State,Federal agency that runs U.S. Embassies/Consulates and adjudicates visa applications abroad.
DHS,,Department of Homeland Security,Federal department overseeing USCIS
INA,,Immigration and Nationality Act,Foundational federal statute governing U.S. immigration law.
LPR,,Lawful Permanent Resident,Non-citizen lawfully authorized to live and work permanently in the U.S. (Green Card holder).
GC,,Green Card,Common abbreviation for the Permanent Resident Card.
IV,,Immigrant Visa,Visa issued to a person intending to live permanently in the U.S.
NIV,,Non-Immigrant Visa,Visa issued for a temporary stay in the U.S.
AC21,,American Competitiveness in the 21st Century Act,Law providing H-1B portability and 7th-year extensions during long Green Card waits.
SEVIS,,Student and Exchange Visitor Information System,Tracking system for F/M/J non-immigrants.
SEVP,,Student and Exchange Visitor Program,DHS program that administers SEVIS and certifies schools to enroll F-1/M-1 students.
FOIA,,Freedom of Information Act,Federal law allowing public access to government records (used to request USCIS case files).
USMLE,,United States Medical Licensing Examination,Examination required for foreign medical graduates seeking U.S. medical licensure.
FBI,,Federal Bureau of Investigation,Conducts background checks for immigration applications.
EOIR,,Executive Office for Immigration Review,Component of DOJ that administers the immigration court system.
BIA,,Board of Immigration Appeals,Highest administrative body for interpreting/applying immigration laws within DOJ.
AAO,,Administrative Appeals Office,USCIS body that adjudicates appeals of certain denied applications/petitions.
WOM,,Writ of Mandamus,Federal court order compelling a government agency to act on a delayed case.
SSN,,Social Security Number,9-digit identifier issued by the SSA required for most U.S. employment and benefits.
ITIN,,Individual Taxpayer Identification Number,IRS-issued tax-processing number for individuals ineligible for an SSN.
VAWA,,Violence Against Women Act,Self-petition pathway for abused spouses / children / parents of U.S. citizens or LPRs.
CR-1,,Conditional Resident,Conditional 2-year Green Card issued to spouses married fewer than 2 years at adjustment; condition removed via I-751.
NTA,,Notice to Appear,"Charging document issued by DHS that initiates removal (deportation) proceedings in immigration court."
MTR,,Motion to Reopen
