tag,Description
past-experience,"Umbrella tag for a PAST, lived experience the applicant is recounting (any milestone/step). Marks the content as a historical first-hand account rather than a current question, concern, or plan. Applied to every experience captured on the profile experiences page."
visa-interview-experience,"First-hand account of an immigration INTERVIEW the applicant attended — at a U.S. consulate/embassy abroad OR a USCIS office in the U.S. (e.g. adjustment-of-status or naturalization interview). Use for any interview experience, consular or domestic."
open-for-attorney,Question intended for an attorney to answer
blog,"A standalone informational or educational write-up about U.S. immigration (tips, how-to guides, explainers) — NOT the poster's own personal case (mutually exclusive with experience-posting) and not primarily a reaction to one specific news item (that's ""discussion""). Includes a linked/reposted external blog post the poster is sharing."
news-update,News update related to immigration
official-press-release,Official press release from USCIS/DOS/DOL/DHS
promotion,Promotion at work (relevant to H-1B/LCA wage)
startup,Startup employer / founder immigration concerns
required-documents,Documents required for a filing or interview
fifa-world-cup,FIFA World Cup 2026 visit to the U.S. — visa/travel concerns for the tournament
maintenance-of-status,Maintaining lawful nonimmigrant status
out-of-status,Falling out of lawful nonimmigrant status
denial-reason,Reason given for a denial
waiver-eligibility,Eligibility for an immigration waiver
visa-bulletin,Monthly Visa Bulletin from DOS
priority-date-current,Priority date is current in the Visa Bulletin
visa-quota,Annual numerical limits on visa categories
country-of-chargeability,Country to which an immigrant visa is charged
dual-intent,"Dual intent visas (H-1B, L-1) — temporary stay with immigrant intent allowed"
unlawful-presence,Time accrued out of status (triggers 3/10-year bars)
travel-ban,Country/category-specific travel ban
public-charge,Public charge ground of inadmissibility
medical-exam,Required medical examination (I-693 / panel physician)
vaccinations,Vaccination requirements for immigration medical exam
fee-increase,Government fee schedule increase
attorney-fee,Attorney/legal fees
employer-letter,Employer support/verification letter
ability-to-pay,Employer's ability to pay required wage
npt-pardon,Nunc Pro Tunc pardon — retroactive grant of status to fix unlawful presence gap
priority-date-portability,AC21 portability of priority date when switching employers / I-140 holders
ac21-extension,3-year H-1B extensions beyond the 6-year cap under AC21 sections 104(c) and 106(a)
day1-cpt,Day-1 CPT bridge programs — F-1 enrollment that authorizes immediate work via CPT, often used to fill gaps after OPT ends
dui,DUI / drunk-driving incident affecting moral character and inadmissibility determinations
nonimmigrant-intent,INA 214(b) nonimmigrant-intent presumption — most common B-1/B-2/F-1 refusal ground
last-action-rule,"USCIS last-action rule — when COS and visa stamping interact, the most recent action governs status"
country-of-birth-screening,Security/background screening triggered by country of birth (e.g. Iran, China, Russia) distinct from country of nationality
tal-screening,Technology Alert List screening — additional review for STEM applicants in sensitive fields
misrepresentation,INA 212(a)(6)(C) misrepresentation ground of inadmissibility
fraud,Fraud-based denial or inadmissibility concern
f1-reinstatement,F-1 reinstatement of status (via Form I-539) after a status violation
i94-error,POE I-94 issuance errors (wrong class of admission or wrong admit-until date)
concurrent-h1b,Concurrent H-1B employment with multiple petitioning employers
travel-history-disclosure,DS-160 travel-history disclosure concerns (prior US trips and trips to third countries)
affidavit-of-support,I-864 affidavit-of-support sponsor / sponsee / income-threshold concerns
gc-renewal,Green-card renewal via Form I-90 (every 10 years for LPRs)
naturalization-test,N-400 civics and English-language test concerns
i-am-attorney,"Self-identifying immigration attorney post — usually promotional / offering services rather than a candidate question."
visa-scheduling-portal-issue,"Issue with the U.S. consulate visa-interview scheduling website / portal (login problem, slot availability bug, payment failure, OFC/IV booking glitch, etc.) — distinct from the underlying visa application."
